date,hour,trading_MW,net_aFRR,restore_MW,imbalance_MWh,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,is_feasible,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2024-08-20,14,0,-20.22924798179946,0,0,135,113.84994194046246,75.89996129364164,2984,2977.89,8250,19.21,2834.8,8662.5,1,-0,166891.29584984554,-0,0
2024-08-20,15,0,-6.369442472857531,0,0,113.84994194046246,107.19057040925055,71.4603802728337,4349,4347.17,8250,150.45,4131.55,8662.5,1,-0,52547.900401074636,-0,0
2024-08-20,16,0,-5.28232615301874,0,0,107.19057040925055,101.6677993736551,67.77853291577007,5550,5538.73,8250,9.82,9.33,5827.5,1,-0,43579.19076240461,-0,0
2024-08-20,17,0,-1.678178155239931,-26.486258346005652,0,101.6677993736551,72.22135293375561,48.14756862250374,9000,8931.92,10000,9.82,8550,10500,1,-0,16781.781552399312,236573.14064585482,0
2024-08-20,18,0,-4.980814596412285,0,0,72.22135293375561,67.01381788387675,44.67587858925117,9000,8953.74,10000,9.83,8550,10500,1,-0,49808.14596412286,-0,0
2024-08-20,19,0,20.26972638253811,0,0,67.01381788387675,85.14897992052254,56.7659866136817,9000,8997.1,10000,9000,8550,10500,1,-0,-182427.537442843,-0,0
2024-08-20,20,0,-7.587310874663398,0,0,85.14897992052254,77.21630414042085,51.47753609361389,9000,9000,10000,9000,8550,10500,1,-0,75873.10874663398,-0,0
2024-08-20,21,-35,0.62412091531772,0,0,77.21630414042085,41.1815438870208,27.4543625913472,9000,9000,10000,9000,8550,10500,1,315000,-5617.08823785948,-0,0
2024-08-20,22,-35,16.542718485048987,0,0,41.1815438870208,19.389025530478754,12.92601702031917,9000,9000,10000,9000,8550,10500,1,315000,-148884.46636544087,-0,0
2024-08-20,23,0,7.644399984450802,-25.086502796933015,0,19.389025530478754,0,0,6900,6900,8250,6900,6555,8662.5,-0,-0,-52746.359892710534,173096.86929883782,0
2024-08-21,0,0,-9.753575028348369,28.163374177730095,0,0,15,10,5600,5600,6600,5600,5320,6930,1,-0,64373.595187099236,-157714.89539528853,0
2024-08-21,1,0,15.47732929118744,0,0,15,28.847442698191074,19.231628465460716,5592.21,5569.3,6600,5592.21,5312.6,6930,1,-0,-86552.47563547132,-0,0
2024-08-21,2,0,6.821467275999561,0,0,28.847442698191074,34.950554898289674,23.300369932193117,5585.79,5563.01,6600,5585.79,5306.5,6930,1,-0,-38103.28369560559,-0,0
2024-08-21,3,0,-3.0931644282576496,0,0,34.950554898289674,31.716593492299427,21.14439566153295,5373,5364.5,6600,5373,5104.35,6930,1,-0,20414.885226500486,-0,0
2024-08-21,4,0,19.957587248896537,10.380891473929628,0,31.716593492299427,58.860187697782216,39.24012513185481,5125.32,5121.54,6600,5125.32,4869.05,6930,1,-0,-102289.0210785144,-53166.15091938955,0
2024-08-21,5,0,1.5030185086570536,0,0,58.860187697782216,60.20492633332961,40.13661755555307,5450,5446.99,6600,5450,5177.5,6930,1,-0,-8191.450872180942,-0,0
2024-08-21,6,0,3.586258855831538,0,0,60.20492633332961,63.41352344157124,42.27568229438083,5600,5600,6600,5600,5320,6930,1,-0,-20083.049592656615,-0,0
2024-08-21,7,0,-31.281865462376565,0,0,63.41352344157124,30.707746571607046,20.47183104773803,6900,6900,8250,6900,6555,8662.5,1,-0,258075.39006460668,-0,0
2024-08-21,8,0,-8.962044510045667,0,0,30.707746571607046,21.337760999718046,14.225173999812032,6900,6898.04,8250,6900,6555,8662.5,1,-0,73936.86720787676,-0,0
2024-08-21,9,0,-6.061833899073321,0,0,21.337760999718046,15,10,6900,6873.46,8250,6900,6555,8662.5,1,-0,50010.12966735489,-0,0
2024-08-21,10,0,24.797016646544453,0,0,15,37.18569241753015,24.790461611686766,6621,6519.18,8250,44.35,6289.95,8662.5,1,-0,-1099.7476882742465,-0,0
2024-08-21,11,35,16.88742239898575,0,0,37.18569241753015,83.6089541385235,55.739302759015665,955,956.76,8250,955,907.25,8662.5,1,-33425,-16127.48839103139,-0,0
2024-08-21,12,35,19.663509812187463,-23.007598050626743,0,83.6089541385235,108.46108390937536,72.30738927291691,680,670.84,8250,680,646,8662.5,1,-23800,-13371.186672287475,15434.417076282445,0
2024-08-21,13,0,29.662628134178725,0,0,108.46108390937536,135,90,1878,1875.02,8250,1878,1784.1,8662.5,1,-0,-55706.41563598764,-0,0
2024-08-21,14,0,13.771883806136795,-34.25109406724041,0,135,111.51143321745712,74.34095547830475,4980,4979.37,8250,4980,4731,8662.5,1,-0,-68583.98135456124,170548.87026559486,0
2024-08-21,15,0,17.248422423049476,0,0,111.51143321745712,126.9434587719801,84.62897251465341,5421,5434.11,8250,5421,5149.95,8662.5,1,-0,-93503.6979553512,-0,0
2024-08-21,16,0,9.004820908223053,0,0,126.9434587719801,135,90,5564.6,5591.42,8250,5564.6,5286.37,8662.5,1,-0,-50108.226425898,-0,0
2024-08-21,17,0,2.7434439848528296,-9.975670815391796,0,135,127.02478650626642,84.68319100417762,9000,9000,10000,9000,8550,10500,1,-0,-24690.995863675467,89781.03733852616,0
2024-08-21,18,0,-21.662700874516027,0,0,127.02478650626642,104.3760265704236,69.58401771361574,9000,8999.98,10000,9000,8550,10500,1,-0,216627.00874516027,-0,0
2024-08-21,19,0,-11.260723585553,0,0,104.3760265704236,92.60272892529463,61.73515261686309,9000,8999.96,10000,9000,8550,10500,1,-0,112607.23585553,-0,0
2024-08-21,20,0,-24.080232880362523,0,0,92.60272892529463,67.42639394907232,44.95092929938154,9000,8999.99,10000,9000,8550,10500,1,-0,240802.32880362522,-0,0
2024-08-21,21,-35,10.601582854677181,0,0,67.42639394907232,40.31838907312166,26.878926048747772,9000,9000,10000,9000,8550,10500,1,315000,-95414.24569209463,-0,0
2024-08-21,22,-35,15.207920091120922,0,0,40.31838907312166,17.331637271919323,11.554424847946215,9000,8992.24,10000,5532.54,8550,10500,1,315000,-84138.42622093015,-0,0
2024-08-21,23,0,-5.132125302699346,-11.444944477312422,0,17.331637271919323,0,0,6900,6899.99,8250,6900,6555,8662.5,0,-0,42340.033747269605,78970.00244401094,0
2024-08-22,0,0,-0.3458313800118219,17.169677600867338,0,0,15,10,5600,5599.69,6600,5600,5320,6930,1,-0,2282.4871080780244,-96144.87196480081,0
2024-08-22,1,0,3.030098671320148,15.433637930984151,0,15,31.51935742818884,21.012904952125893,5555,5546.84,6600,5555,5277.25,6930,1,-0,-16832.198119183424,-85607.92022110012,0
