date,hour,net_aFRR,max_aFRR,min_aFRR,trading_MW,restore_MW,imbalance_MWh,is_feasible,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2025-09-16,0,-5.6124773055952595,0.6021441127230369,-14.45947485259302,0,0,0,1,54.24541403971279,48.37746378382703,32.25164252255136,5300,5165,6413.69,0.01,0.01,5565,-0,35996.68957012326,-0,0
2025-09-16,1,0.6275419586228451,5.365371746063728,0.57049411885174,0,0.8112681080864839,0,1,48.37746378382703,49.66475564003133,33.109837093354216,4200,4062.72,6107.23,0.01,0.01,4410,-0,-0.006275419586228451,-3295.9551680851196,0
2025-09-16,2,-1.9814298261354637,-0.0672620742917666,-5.818450054738587,0,0.1676221799843347,0,1,49.66475564003133,47.743103828827486,31.828735885884992,3670,3554.08,5630.36,0.01,0.01,3853.5,-0,11156.163235880069,-595.7426374387243,0
2025-09-16,3,-22.273691940687286,0.2949742110240768,-22.273691940687286,0,1.1284480855862569,0,1,47.743103828827486,25.465154751925247,16.97676983461683,2500,2470.16,5654.08,0.01,0.01,2625,-0,125937.23612800117,-2787.447323091748,0
2025-09-16,4,-20.669371221265965,-0.3183059289060458,-20.91212211142612,0,12.267422624037376,0,1,25.465154751925247,14.830504475643377,9.887002983762251,2500,2474.69,5776.86,3.66,0.01,2625,-0,119404.0638332825,-30358.068093479054,0
2025-09-16,5,-4.440458371766048,8.951535096068453,-4.440458371766048,0,17.58474776217831,0,1,14.830504475643377,25.920855135047805,17.28057009003187,3370,3300.77,5856.1,331.38,3201.5,6311.33,-0,26003.768270899152,-58043.2078709653,0
2025-09-16,6,-10.90264307586023,4.63974185295657,-10.90264307586023,0,12.039572432476097,0,1,25.920855135047805,25.293646515501216,16.86243101033414,4817,4804.81,6477.97,29.87,4576.15,6929.91,-0,70626.99476613029,-57847.85801928548,0
2025-09-16,7,-5.75258438312552,1.071938134963004,-6.2103059396599685,0,12.353176742249392,0,1,25.293646515501216,30.331500088953014,20.221000059302007,6891.36,6866.72,8249.92,586.64,6546.79,8662.42,-0,47458.36095403489,-84825.80579953875,0
2025-09-16,8,8.42578437752517,8.42578437752517,-7.191822809446616,0,9.834249955523493,0,1,30.331500088953014,46.66860672645699,31.112404484304662,6837.89,6823.34,8223.94,363.5,6496,8662.42,-0,-3062.7726212303996,-67102.43109152168,0
2025-09-16,9,24.033759416371694,24.5575954800174,0.6265791868748191,0,1.6656966367715036,0,1,46.66860672645699,69.66170446155579,46.44113630770386,3970,3953.44,8130.48,4.81,3771.5,8662.41,-0,-115.60238279274785,-6585.231711677933,0
